neighborhoodCrimeStatisticsID,neighborhood,ucrDescription,number,reportMonth,reportYear
1,** NOT ASSIGNED **,Aggravated Assault,2,8,2017
2,** NOT ASSIGNED **,Arson,0,8,2017
3,** NOT ASSIGNED **,Auto Theft,3,8,2017
4,** NOT ASSIGNED **,Burglary,1,8,2017
5,** NOT ASSIGNED **,Homicide,0,8,2017
6,** NOT ASSIGNED **,Larceny,8,8,2017
7,** NOT ASSIGNED **,Rape,2,8,2017
8,** NOT ASSIGNED **,Robbery,1,8,2017
9,ARMATAGE,Aggravated Assault,0,8,2017
10,ARMATAGE,Arson,0,8,2017
11,ARMATAGE,Auto Theft,1,8,2017
12,ARMATAGE,Burglary,3,8,2017
13,ARMATAGE,Homicide,0,8,2017
14,ARMATAGE,Larceny,7,8,2017
15,ARMATAGE,Rape,0,8,2017
16,ARMATAGE,Robbery,0,8,2017
17,AUDUBON PARK,Aggravated Assault,0,8,2017
18,AUDUBON PARK,Arson,1,8,2017
19,AUDUBON PARK,Auto Theft,2,8,2017
20,AUDUBON PARK,Burglary,4,8,2017
21,AUDUBON PARK,Homicide,0,8,2017
22,AUDUBON PARK,Larceny,13,8,2017
23,AUDUBON PARK,Rape,0,8,2017
24,AUDUBON PARK,Robbery,0,8,2017
25,BANCROFT,Aggravated Assault,1,8,2017
26,BANCROFT,Arson,0,8,2017
27,BANCROFT,Auto Theft,1,8,2017
28,BANCROFT,Burglary,4,8,2017
29,BANCROFT,Homicide,0,8,2017
30,BANCROFT,Larceny,5,8,2017
31,BANCROFT,Rape,0,8,2017
32,BANCROFT,Robbery,0,8,2017
33,BELTRAMI,Aggravated Assault,1,8,2017
34,BELTRAMI,Arson,0,8,2017
35,BELTRAMI,Auto Theft,0,8,2017
36,BELTRAMI,Burglary,0,8,2017
37,BELTRAMI,Homicide,0,8,2017
38,BELTRAMI,Larceny,2,8,2017
39,BELTRAMI,Rape,0,8,2017
40,BELTRAMI,Robbery,0,8,2017
41,BOTTINEAU,Aggravated Assault,0,8,2017
42,BOTTINEAU,Arson,0,8,2017
43,BOTTINEAU,Auto Theft,0,8,2017
44,BOTTINEAU,Burglary,0,8,2017
45,BOTTINEAU,Homicide,0,8,2017
46,BOTTINEAU,Larceny,0,8,2017
47,BOTTINEAU,Rape,0,8,2017
48,BOTTINEAU,Robbery,0,8,2017
49,BRYANT,Aggravated Assault,1,8,2017
50,BRYANT,Arson,0,8,2017
51,BRYANT,Auto Theft,0,8,2017
52,BRYANT,Burglary,6,8,2017
53,BRYANT,Homicide,0,8,2017
54,BRYANT,Larceny,2,8,2017
55,BRYANT,Rape,0,8,2017
56,BRYANT,Robbery,1,8,2017
57,BRYN - MAWR,Aggravated Assault,0,8,2017
58,BRYN - MAWR,Arson,0,8,2017
59,BRYN - MAWR,Auto Theft,0,8,2017
60,BRYN - MAWR,Burglary,3,8,2017
61,BRYN - MAWR,Homicide,0,8,2017
62,BRYN - MAWR,Larceny,4,8,2017
63,BRYN - MAWR,Rape,0,8,2017
64,BRYN - MAWR,Robbery,0,8,2017
65,CAMDEN INDUSTRIAL,Aggravated Assault,1,8,2017
66,CAMDEN INDUSTRIAL,Arson,0,8,2017
67,CAMDEN INDUSTRIAL,Auto Theft,0,8,2017
68,CAMDEN INDUSTRIAL,Burglary,1,8,2017
69,CAMDEN INDUSTRIAL,Homicide,0,8,2017
70,CAMDEN INDUSTRIAL,Larceny,2,8,2017
71,CAMDEN INDUSTRIAL,Rape,0,8,2017
72,CAMDEN INDUSTRIAL,Robbery,0,8,2017
73,CARAG,Aggravated Assault,1,8,2017
74,CARAG,Arson,0,8,2017
75,CARAG,Auto Theft,4,8,2017
76,CARAG,Burglary,5,8,2017
77,CARAG,Homicide,0,8,2017
78,CARAG,Larceny,20,8,2017
79,CARAG,Rape,2,8,2017
80,CARAG,Robbery,1,8,2017
81,CEDAR - ISLES - DEAN,Aggravated Assault,1,8,2017
82,CEDAR - ISLES - DEAN,Arson,0,8,2017
83,CEDAR - ISLES - DEAN,Auto Theft,1,8,2017
84,CEDAR - ISLES - DEAN,Burglary,1,8,2017
85,CEDAR - ISLES - DEAN,Homicide,0,8,2017
86,CEDAR - ISLES - DEAN,Larceny,12,8,2017
87,CEDAR - ISLES - DEAN,Rape,0,8,2017
88,CEDAR - ISLES - DEAN,Robbery,0,8,2017
89,CEDAR RIVERSIDE,Aggravated Assault,6,8,2017
90,CEDAR RIVERSIDE,Arson,0,8,2017
91,CEDAR RIVERSIDE,Auto Theft,8,8,2017
92,CEDAR RIVERSIDE,Burglary,4,8,2017
93,CEDAR RIVERSIDE,Homicide,1,8,2017
94,CEDAR RIVERSIDE,Larceny,31,8,2017
95,CEDAR RIVERSIDE,Rape,1,8,2017
96,CEDAR RIVERSIDE,Robbery,4,8,2017
97,CENTRAL,Aggravated Assault,11,8,2017
98,CENTRAL,Arson,0,8,2017
99,CENTRAL,Auto Theft,4,8,2017
100,CENTRAL,Burglary,11,8,2017
101,CENTRAL,Homicide,0,8,2017
102,CENTRAL,Larceny,14,8,2017
103,CENTRAL,Rape,3,8,2017
104,CENTRAL,Robbery,6,8,2017
105,CLEVELAND,Aggravated Assault,1,8,2017
106,CLEVELAND,Arson,0,8,2017
107,CLEVELAND,Auto Theft,4,8,2017
108,CLEVELAND,Burglary,7,8,2017
109,CLEVELAND,Homicide,1,8,2017
110,CLEVELAND,Larceny,6,8,2017
111,CLEVELAND,Rape,1,8,2017
112,CLEVELAND,Robbery,2,8,2017
113,COLUMBIA PARK,Aggravated Assault,1,8,2017
114,COLUMBIA PARK,Arson,0,8,2017
115,COLUMBIA PARK,Auto Theft,0,8,2017
116,COLUMBIA PARK,Burglary,3,8,2017
117,COLUMBIA PARK,Homicide,0,8,2017
118,COLUMBIA PARK,Larceny,2,8,2017
119,COLUMBIA PARK,Rape,0,8,2017
120,COLUMBIA PARK,Robbery,1,8,2017
121,COMO,Aggravated Assault,1,8,2017
122,COMO,Arson,0,8,2017
123,COMO,Auto Theft,2,8,2017
124,COMO,Burglary,5,8,2017
125,COMO,Homicide,0,8,2017
126,COMO,Larceny,11,8,2017
127,COMO,Rape,0,8,2017
128,COMO,Robbery,2,8,2017
129,COOPER,Aggravated Assault,1,8,2017
130,COOPER,Arson,0,8,2017
131,COOPER,Auto Theft,0,8,2017
132,COOPER,Burglary,7,8,2017
133,COOPER,Homicide,0,8,2017
134,COOPER,Larceny,7,8,2017
135,COOPER,Rape,0,8,2017
136,COOPER,Robbery,0,8,2017
137,CORCORAN,Aggravated Assault,0,8,2017
138,CORCORAN,Arson,1,8,2017
139,CORCORAN,Auto Theft,2,8,2017
140,CORCORAN,Burglary,4,8,2017
141,CORCORAN,Homicide,0,8,2017
142,CORCORAN,Larceny,13,8,2017
143,CORCORAN,Rape,0,8,2017
144,CORCORAN,Robbery,1,8,2017
145,DIAMOND LAKE,Aggravated Assault,0,8,2017
146,DIAMOND LAKE,Arson,0,8,2017
147,DIAMOND LAKE,Auto Theft,2,8,2017
