neighborhoodCrimeStatisticsID,neighborhood,ucrDescription,number,reportMonth,reportYear
1,** Not Assigned **,Aggravated Assault,2,8,2017
2,** Not Assigned **,Arson,0,8,2017
3,** Not Assigned **,Auto Theft,3,8,2017
4,** Not Assigned **,Burglary,1,8,2017
5,** Not Assigned **,Homicide,0,8,2017
6,** Not Assigned **,Larceny,8,8,2017
7,** Not Assigned **,Rape,2,8,2017
8,** Not Assigned **,Robbery,1,8,2017
9,Armatage,Aggravated Assault,0,8,2017
10,Armatage,Arson,0,8,2017
11,Armatage,Auto Theft,1,8,2017
12,Armatage,Burglary,3,8,2017
13,Armatage,Homicide,0,8,2017
14,Armatage,Larceny,7,8,2017
15,Armatage,Rape,0,8,2017
16,Armatage,Robbery,0,8,2017
17,Audubon Park,Aggravated Assault,0,8,2017
18,Audubon Park,Arson,1,8,2017
19,Audubon Park,Auto Theft,2,8,2017
20,Audubon Park,Burglary,4,8,2017
21,Audubon Park,Homicide,0,8,2017
22,Audubon Park,Larceny,13,8,2017
23,Audubon Park,Rape,0,8,2017
24,Audubon Park,Robbery,0,8,2017
25,Bancroft,Aggravated Assault,1,8,2017
26,Bancroft,Arson,0,8,2017
27,Bancroft,Auto Theft,1,8,2017
28,Bancroft,Burglary,4,8,2017
29,Bancroft,Homicide,0,8,2017
30,Bancroft,Larceny,5,8,2017
31,Bancroft,Rape,0,8,2017
32,Bancroft,Robbery,0,8,2017
33,Beltrami,Aggravated Assault,1,8,2017
34,Beltrami,Arson,0,8,2017
35,Beltrami,Auto Theft,0,8,2017
36,Beltrami,Burglary,0,8,2017
37,Beltrami,Homicide,0,8,2017
38,Beltrami,Larceny,2,8,2017
39,Beltrami,Rape,0,8,2017
40,Beltrami,Robbery,0,8,2017
41,Bottineau,Aggravated Assault,0,8,2017
42,Bottineau,Arson,0,8,2017
43,Bottineau,Auto Theft,0,8,2017
44,Bottineau,Burglary,0,8,2017
45,Bottineau,Homicide,0,8,2017
46,Bottineau,Larceny,0,8,2017
47,Bottineau,Rape,0,8,2017
48,Bottineau,Robbery,0,8,2017
49,Bryant,Aggravated Assault,1,8,2017
50,Bryant,Arson,0,8,2017
51,Bryant,Auto Theft,0,8,2017
52,Bryant,Burglary,6,8,2017
53,Bryant,Homicide,0,8,2017
54,Bryant,Larceny,2,8,2017
55,Bryant,Rape,0,8,2017
56,Bryant,Robbery,1,8,2017
57,Bryn - Mawr,Aggravated Assault,0,8,2017
58,Bryn - Mawr,Arson,0,8,2017
59,Bryn - Mawr,Auto Theft,0,8,2017
60,Bryn - Mawr,Burglary,3,8,2017
61,Bryn - Mawr,Homicide,0,8,2017
62,Bryn - Mawr,Larceny,4,8,2017
63,Bryn - Mawr,Rape,0,8,2017
64,Bryn - Mawr,Robbery,0,8,2017
65,Camden Industrial,Aggravated Assault,1,8,2017
66,Camden Industrial,Arson,0,8,2017
67,Camden Industrial,Auto Theft,0,8,2017
68,Camden Industrial,Burglary,1,8,2017
69,Camden Industrial,Homicide,0,8,2017
70,Camden Industrial,Larceny,2,8,2017
71,Camden Industrial,Rape,0,8,2017
72,Camden Industrial,Robbery,0,8,2017
73,Carag,Aggravated Assault,1,8,2017
74,Carag,Arson,0,8,2017
75,Carag,Auto Theft,4,8,2017
76,Carag,Burglary,5,8,2017
77,Carag,Homicide,0,8,2017
78,Carag,Larceny,20,8,2017
79,Carag,Rape,2,8,2017
80,Carag,Robbery,1,8,2017
81,Cedar - Isles - Dean,Aggravated Assault,1,8,2017
82,Cedar - Isles - Dean,Arson,0,8,2017
83,Cedar - Isles - Dean,Auto Theft,1,8,2017
84,Cedar - Isles - Dean,Burglary,1,8,2017
85,Cedar - Isles - Dean,Homicide,0,8,2017
86,Cedar - Isles - Dean,Larceny,12,8,2017
87,Cedar - Isles - Dean,Rape,0,8,2017
88,Cedar - Isles - Dean,Robbery,0,8,2017
89,Cedar Riverside,Aggravated Assault,6,8,2017
90,Cedar Riverside,Arson,0,8,2017
91,Cedar Riverside,Auto Theft,8,8,2017
92,Cedar Riverside,Burglary,4,8,2017
93,Cedar Riverside,Homicide,1,8,2017
94,Cedar Riverside,Larceny,31,8,2017
95,Cedar Riverside,Rape,1,8,2017
96,Cedar Riverside,Robbery,4,8,2017
97,Central,Aggravated Assault,11,8,2017
98,Central,Arson,0,8,2017
99,Central,Auto Theft,4,8,2017
100,Central,Burglary,11,8,2017
101,Central,Homicide,0,8,2017
102,Central,Larceny,14,8,2017
103,Central,Rape,3,8,2017
104,Central,Robbery,6,8,2017
105,Cleveland,Aggravated Assault,1,8,2017
106,Cleveland,Arson,0,8,2017
107,Cleveland,Auto Theft,4,8,2017
108,Cleveland,Burglary,7,8,2017
109,Cleveland,Homicide,1,8,2017
110,Cleveland,Larceny,6,8,2017
111,Cleveland,Rape,1,8,2017
112,Cleveland,Robbery,2,8,2017
113,Columbia Park,Aggravated Assault,1,8,2017
114,Columbia Park,Arson,0,8,2017
115,Columbia Park,Auto Theft,0,8,2017
116,Columbia Park,Burglary,3,8,2017
117,Columbia Park,Homicide,0,8,2017
118,Columbia Park,Larceny,2,8,2017
119,Columbia Park,Rape,0,8,2017
120,Columbia Park,Robbery,1,8,2017
121,Como,Aggravated Assault,1,8,2017
122,Como,Arson,0,8,2017
123,Como,Auto Theft,2,8,2017
124,Como,Burglary,5,8,2017
125,Como,Homicide,0,8,2017
126,Como,Larceny,11,8,2017
127,Como,Rape,0,8,2017
128,Como,Robbery,2,8,2017
129,Cooper,Aggravated Assault,1,8,2017
130,Cooper,Arson,0,8,2017
131,Cooper,Auto Theft,0,8,2017
132,Cooper,Burglary,7,8,2017
133,Cooper,Homicide,0,8,2017
134,Cooper,Larceny,7,8,2017
135,Cooper,Rape,0,8,2017
136,Cooper,Robbery,0,8,2017
137,Corcoran,Aggravated Assault,0,8,2017
138,Corcoran,Arson,1,8,2017
139,Corcoran,Auto Theft,2,8,2017
140,Corcoran,Burglary,4,8,2017
141,Corcoran,Homicide,0,8,2017
142,Corcoran,Larceny,13,8,2017
143,Corcoran,Rape,0,8,2017
144,Corcoran,Robbery,1,8,2017
145,Diamond Lake,Aggravated Assault,0,8,2017
146,Diamond Lake,Arson,0,8,2017
147,Diamond Lake,Auto Theft,2,8,2017
148,Diamond Lake,Burglary,4,8,2017
149,Diamond Lake,Homicide,0,8,2017
150,Diamond Lake,Larceny,7,8,2017
151,Diamond Lake,Rape,0,8,2017
152,Diamond Lake,Robbery,0,8,2017
153,Downtown East,Aggravated Assault,0,8,2017
154,Downtown East,Arson,0,8,2017
155,Downtown East,Auto Theft,1,8,2017
156,Downtown East,Burglary,0,8,2017
157,Downtown East,Homicide,0,8,2017
158,Downtown East,Larceny,26,8,2017
159,Downtown East,Rape,0,8,2017
160,Downtown East,Robbery,0,8,2017
161,Downtown West,Aggravated Assault,22,8,2017
162,Downtown West,Arson,0,8,2017
163,Downtown West,Auto Theft,13,8,2017
164,Downtown West,Burglary,8,8,2017
165,Downtown West,Homicide,0,8,2017
