Neighborhood,City,Total population,White - Share,Of Color - Share,Total housing units,Total households,Family households - Share,Married-couple family households - Share,Nonfamily households - Share,Vacant housing units - Share,Occupied housing units - Share,Average household size (occupied),Owner-occupied - Share,Average owner-occupied household size,Renter-occupied - Share,Average renter-occupied household size
Armatage,Minneapolis,5101,84.60%,15.40%,2194,2039,66.20%,55.90%,33.80%,7.10%,92.90%,2.0,79.90%,2.0,13.00%,2.5
Audubon Park,Minneapolis,4421,78.60%,21.40%,1971,1938,50.40%,37.80%,49.60%,1.70%,98.30%,1.8,66.70%,2.0,31.60%,1.8
Bancroft,Minneapolis,3609,73.40%,26.60%,1556,1497,55.70%,45.40%,44.30%,3.80%,96.20%,2.0,70.10%,2.0,26.10%,2.2
Battle Creek-Highwood,St. Paul,58578,51.80%,48.20%,21084,20396,64.40%,39.40%,35.60%,3.30%,96.70%,2.3,56.60%,2.3,40.10%,2.0
Cedar Riverside,Minneapolis,10065,32.00%,68.00%,3571,3392,34.90%,11.30%,65.10%,5.00%,95.00%,2.0,10.50%,1.5,84.50%,2.0
Cedar-Isles-Dean,Minneapolis,3377,91.60%,8.40%,1993,1729,46.40%,41.20%,53.60%,13.30%,86.70%,1.4,47.10%,1.9,39.70%,1.4
Central,Minneapolis,8282,43.30%,56.70%,2546,2418,64.40%,35.50%,35.60%,5.00%,95.00%,2.5,44.80%,2.4,50.10%,2.6
Como (Minneapolis),Minneapolis,15016,74.70%,25.30%,6486,6133,40.50%,31.10%,59.50%,5.40%,94.60%,1.7,34.40%,1.8,60.20%,1.7
Como (St. Paul),St. Paul,63972,63.80%,36.20%,25622,24585,54.30%,40.40%,45.70%,4.00%,96.00%,2.0,51.70%,2.1,44.30%,1.7
Cooper,Minneapolis,10146,88.70%,11.30%,4514,4371,56.50%,50.60%,43.50%,3.20%,96.80%,2.0,67.40%,2.0,29.40%,1.3
Corcoran,Minneapolis,4334,63.50%,36.50%,1700,1612,52.80%,31.30%,47.20%,5.20%,94.80%,2.2,58.50%,2.5,36.30%,2.2
Dayton's Bluff,St. Paul,50649,42.60%,57.40%,20005,18534,51.10%,28.20%,48.90%,7.40%,92.60%,2.3,34.90%,2.5,57.80%,2.1
Diamond Lake,Minneapolis,7543,73.10%,26.90%,2952,2807,65.70%,53.10%,34.30%,4.90%,95.10%,2.1,70.50%,2.1,24.60%,1.9
Downtown,St. Paul,27947,58.10%,41.90%,14748,13535,36.50%,21.90%,63.50%,8.20%,91.80%,1.6,26.10%,1.7,65.70%,1.6
Downtown West,Minneapolis,7885,60.10%,39.90%,4804,4153,29.80%,24.20%,70.20%,13.60%,86.40%,1.0,26.30%,1.0,60.10%,1.0
East Harriet,Minneapolis,3427,86.30%,13.70%,1586,1475,54.30%,43.40%,45.70%,7.00%,93.00%,1.6,55.00%,1.9,37.90%,1.4
